Type d'activité,Date,Titre,Distance,Temps,FC moyenne,FC max,Allure moyenne,Dénivelé positif,Cadence moyenne
Course à pied,01/06/2026 08:15,Footing endurance,10.20,00:58:20,132,148,5:43,65,164
Course à pied,04/06/2026 18:30,5 x 1000 m,11.40,01:05:10,151,172,5:43,42,170
Cyclisme,06/06/2026 09:10,Sortie vélo,42.80,01:48:00,121,151,,310,82
Course à pied,08/06/2026 08:00,Sortie longue,15.60,01:29:40,138,156,5:45,110,165
Course à pied,11/06/2026 18:15,Footing récupération,8.10,00:48:30,126,142,5:59,32,162
Course à pied,14/06/2026 09:00,Seuil progressif,12.30,01:03:00,149,169,5:07,55,171
Course à pied,17/06/2026 18:45,Endurance fondamentale,10.50,01:01:00,130,146,5:49,40,164
Course à pied,20/06/2026 09:30,Sortie longue,17.20,01:38:20,140,158,5:43,125,166
Course à pied,23/06/2026 18:20,8 x 400 m,9.80,00:55:10,153,176,5:38,35,174
Course à pied,26/06/2026 07:45,Footing facile,9.40,00:55:40,128,144,5:55,28,163
Course à pied,29/06/2026 08:20,Sortie longue progressive,18.50,01:43:30,142,162,5:36,135,167
Course à pied,02/07/2026 18:10,Footing récupération,7.80,00:47:00,124,139,6:02,22,161
Course à pied,05/07/2026 09:15,4 x 2000 m,14.20,01:14:30,154,174,5:15,58,172
Course à pied,08/07/2026 18:30,Endurance,11.30,01:04:00,133,149,5:40,45,165
Course à pied,12/07/2026 08:40,Sortie longue,19.60,01:49:20,141,160,5:35,145,166
Course à pied,15/07/2026 18:15,Footing facile,9.00,00:53:30,127,143,5:57,30,162
Course à pied,18/07/2026 09:10,Séance seuil,13.10,01:07:00,152,171,5:07,52,171
Course à pied,22/07/2026 18:20,Endurance fondamentale,10.80,01:02:10,131,147,5:45,38,164
Course à pied,25/07/2026 08:30,Sortie longue progressive,20.20,01:51:40,143,164,5:32,150,168
